id,name,year,rating,runtime,genres,url,seed,score,x,y,nearest,shared,words,rank,loo_min,loo_max,loo_top20,themes,affinities
71213,Out There,2025,6.1,47.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/71213/out-there,False,47.87,50.89,29.46,Ozark,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Danger / survival']","['moving', 'money', 'family']",1,1,7,6,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[63.33, 55.17, 34.17, 25.83, 33.09, 25.83]"
14117,Trust,2018,6.2,60.0,"['Drama', 'Crime']",https://www.tvmaze.com/shows/14117/trust,False,46.51,47.65,34.48,Breaking Bad,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Power / ambition', 'Danger / survival', 'Friendship / youth']","['iii', 'family', 'explores', 'teenage', 'man']",2,1,10,6,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]","[50.29, 57.7, 34.96, 32.39, 36.58, 32.06]"
53750,Kin,2021,7.6,64.0,"['Drama', 'Crime']",https://www.tvmaze.com/shows/53750/kin,False,46.17,48.64,32.43,Breaking Bad,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Power / ambition', 'Danger / survival']","['world drugs', 'kingpin', 'drug', 'drugs', 'family']",3,2,4,6,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[52.92, 56.66, 36.33, 25.86, 39.0, 34.88]"
2601,Hiding,2015,7.0,60.0,"['Drama', 'Crime']",https://www.tvmaze.com/shows/2601/hiding,False,45.17,48.36,30.76,Ozark,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Danger / survival']",['family'],4,2,12,6,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[56.23, 50.25, 38.59, 27.71, 33.81, 27.86]"
16077,Riviera,2017,7.3,60.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/16077/riviera,False,44.85,49.34,26.92,Ozark,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Danger / survival']",['family'],5,3,15,6,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[56.62, 51.26, 40.15, 23.99, 29.85, 31.81]"
46514,Framed,1992,,60.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/46514/framed,False,44.39,49.04,28.54,Breaking Bad,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Power / ambition', 'Danger / survival']",['wife'],6,5,11,6,"[1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[53.58, 54.37, 39.18, 22.62, 34.45, 29.77]"
33487,Gangs of London,2020,7.7,56.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/33487/gangs-of-london,False,43.8,45.45,28.89,Breaking Bad,"['Crime / illicit enterprise', 'Family ties', 'Power / ambition', 'Danger / survival']","['power', 'family', 'crime', 'world', 'dangerous']",7,4,18,6,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[53.57, 55.83, 26.95, 17.45, 40.34, 36.03]"
75026,MobLand,2025,8.0,46.0,"['Drama', 'Crime']",https://www.tvmaze.com/shows/75026/mobland,False,43.7,47.69,30.13,Breaking Bad,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Power / ambition', 'Danger / survival']","['family', 'man', 'follows']",8,4,16,6,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[49.74, 50.96, 42.38, 24.49, 35.77, 39.44]"
67239,White Lies,2024,6.5,60.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/67239/white-lies,False,43.69,49.38,27.13,Breaking Bad,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Danger / survival', 'Friendship / youth']","['teenage', 'crime', 'world']",9,6,19,6,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0]","[51.83, 52.99, 43.33, 28.18, 26.08, 28.61]"
24846,Would Be Kings,2008,,120.0,"['Drama', 'Crime']",https://www.tvmaze.com/shows/24846/would-be-kings,False,43.6,46.05,34.62,Breaking Bad,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Power / ambition', 'Danger / survival', 'Friendship / youth']","['drug', 'drugs', 'stage', 'power', 'family']",10,3,24,5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[45.72, 49.89, 42.55, 33.78, 35.45, 32.75]"
34448,Giri/Haji,2019,7.7,56.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/34448/girihaji,False,43.52,49.27,25.31,Ozark,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Danger / survival']",['family'],11,5,28,4,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]","[53.96, 48.61, 45.24, 22.62, 28.01, 29.77]"
2705,Narcos,2015,8.4,52.0,"['Drama', 'Action', 'Crime']",https://www.tvmaze.com/shows/2705/narcos,False,43.35,45.44,33.09,Ozark,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Danger / survival']",['family'],12,7,19,6,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[52.22, 48.64, 35.45, 25.83, 40.34, 26.08]"
