,Crime / illicit enterprise,Money / class,Family ties,Power / ambition,Deception / secrets,Danger / survival,Adventure / quest,Law / investigation,Friendship / youth,Romance,Supernatural / fantasy,Humor
Crime / illicit enterprise,1.0,0.040635817845815894,-0.02702951601699549,0.01668909067688031,0.05605918449906419,0.14943639254455995,0.024549322188417905,0.29663661545141246,-0.044813379723980834,-0.044590525461218444,-0.026498311610050423,-0.07483239917831393
Money / class,0.040635817845815894,1.0,0.11823362980776825,0.0861434966405351,0.06925671320818479,0.024697510715221478,0.008835026574854047,-0.0004474311486186684,0.006324652584972029,0.04311180495140368,-0.029954411005418083,-0.014808457798364318
Family ties,-0.02702951601699549,0.11823362980776825,1.0,0.07009738608558884,0.07346677939265941,0.049448319353127185,-0.012067446911551533,-0.021441469437855732,0.11164713795626557,0.09085485670010031,-0.018493673562873892,0.0066724204802240126
Power / ambition,0.01668909067688031,0.0861434966405351,0.07009738608558884,1.0,0.09934457563715036,0.11267248565499678,0.013647612173559937,0.0056820590915820845,-0.007795197735159895,0.042397534347336376,0.03679801040882123,-0.060742905507309174
Deception / secrets,0.05605918449906419,0.06925671320818479,0.07346677939265941,0.09934457563715036,1.0,0.1678350412828516,0.03135046132674205,0.09310512310077525,0.01784785856873174,0.029804464128523975,0.02008310379285003,-0.07685194173604891
Danger / survival,0.14943639254455995,0.024697510715221478,0.049448319353127185,0.11267248565499678,0.1678350412828516,1.0,0.051087430864594746,0.16861100250265668,-0.012714880042418053,-0.011005111935825266,0.036399079096123485,-0.12908702213411555
Adventure / quest,0.024549322188417905,0.008835026574854047,-0.012067446911551533,0.013647612173559937,0.03135046132674205,0.051087430864594746,1.0,-0.008105418122906322,0.03218679501607755,0.014178453490224188,0.060622090840562956,-0.023903574381737108
Law / investigation,0.29663661545141246,-0.0004474311486186684,-0.021441469437855732,0.0056820590915820845,0.09310512310077525,0.16861100250265668,-0.008105418122906322,1.0,-0.06271389924297119,-0.037401528210674106,-0.01457440580687566,-0.11535656829995104
Friendship / youth,-0.044813379723980834,0.006324652584972029,0.11164713795626557,-0.007795197735159895,0.01784785856873174,-0.012714880042418053,0.03218679501607755,-0.06271389924297119,1.0,0.09777548240359914,0.006636773026498113,0.03965709097532508
Romance,-0.044590525461218444,0.04311180495140368,0.09085485670010031,0.042397534347336376,0.029804464128523975,-0.011005111935825266,0.014178453490224188,-0.037401528210674106,0.09777548240359914,1.0,0.0022104757630021445,0.05761926082652914
Supernatural / fantasy,-0.026498311610050423,-0.029954411005418083,-0.018493673562873892,0.03679801040882123,0.02008310379285003,0.036399079096123485,0.060622090840562956,-0.01457440580687566,0.006636773026498113,0.0022104757630021445,1.0,-0.031032743844452315
Humor,-0.07483239917831393,-0.014808457798364318,0.0066724204802240126,-0.060742905507309174,-0.07685194173604891,-0.12908702213411555,-0.023903574381737108,-0.11535656829995104,0.03965709097532508,0.05761926082652914,-0.031032743844452315,1.0
